,CL,CL_log,CD,CD_log,Cm,Cm_log,Va,alpha,alpha_deg
909,-0.8134786754935265,-0.4554333351070865,1.31360261642237,1.2969470693844485,0.0332380851984877,-0.14242121387025655,6.496529484700886,-0.38240031686716885,-21.845398062511897
1194,-1.5435376095796474,-1.860913339887766,2.163439973092907,2.3403753656845643,-0.6221432174276793,-0.4414965606693159,4.302930347688513,-0.3800559188223266,-21.842838357776152
1655,-0.6582076543451444,-0.5324087911426383,1.249367050132335,1.2435274392054987,0.08051145936526782,0.021679723493871816,6.593717655676174,-0.37987584560888943,-21.820089095400625
1596,-0.8143349155111439,-0.8972940684943004,1.424530697904502,1.706960379973114,-0.090632187041505,-0.0771123256759187,5.797927275973596,-0.3812173712318354,-21.7952432292158
910,-0.7920038170504864,-0.49830438220519385,1.3041228283995951,1.2468085652840004,0.0395174941974461,0.009101657675618425,6.50950242260976,-0.37931273776993163,-21.78670450650032
1663,-0.7386907353524058,-0.7280819125515876,1.2702251384655796,1.2767658392950296,0.06507643769669103,0.08601400610470553,6.623653809033861,-0.3796180083657021,-21.780549370185273
1664,-0.7200643501512891,-0.6723590964313729,1.2616390023756456,1.1870180629553664,0.07144588596975865,0.02276956564923201,6.6425176432106845,-0.3796053349057293,-21.737320167698606
1661,-0.7060892329263725,-0.6229242056422225,1.2604651103615347,1.3220147206126045,0.0718115854403476,0.09343224173415035,6.618572046432938,-0.3787660847582087,-21.734654916309708
1656,-0.6769537422473791,-0.561623367123066,1.254644980810074,1.2662092100686937,0.07652863311851643,-0.011070674273291056,6.595728230431667,-0.3795499023623755,-21.71187101117456
1657,-0.6616174437386031,-0.5739872260468237,1.250113479919647,1.2976401568335825,0.07947121718442829,-0.03838037083826051,6.595556188237421,-0.3791205166783623,-21.69415300391986
1595,-0.8300016525411085,-0.9229125420530646,1.43101640990671,1.7063376783785031,-0.09509432409545693,-0.03985485326976372,5.793593083253411,-0.377040125915387,-21.68308843678872
1662,-0.7334142198944141,-0.7097424094924828,1.2697070282001406,1.3308889948332558,0.06513931177507937,0.11608365948961961,6.614798534699404,-0.37967794687688466,-21.67211098591028
1687,-0.8649602511781109,-0.8706123964101484,1.2909191126485473,1.1708049371499056,0.06564297601340696,-0.030445683965764483,6.8068707936656425,-0.3797297148604748,-21.661521692673272
1659,-0.6609752666340802,-0.5175469405733538,1.2470546413950077,1.28061304080661,0.08208884162959773,-0.017530813109199586,6.61655862919818,-0.37719771853788053,-21.651143142337375
1658,-0.6547052933215709,-0.5480579662676512,1.2470173624438206,1.2972741214604926,0.08185510143989272,-0.04385260244747936,6.603422644423765,-0.37807515551708104,-21.6496912735976
1252,-1.0683803226623252,-1.0181051980288403,1.4319103750476363,1.349130621322055,-0.0357714478212694,-0.030454642878131762,6.413603189382154,-0.363227658546791,-21.63411248628241
1660,-0.647157421615538,-0.5391411199220741,1.2421839257461746,1.2886789008449124,0.08533071968046202,0.03666414558242728,6.622876937759609,-0.37750688006988375,-21.629733139020672
1238,-0.4182278166678227,0.04587035108572929,1.273763353396556,1.0707544532835798,0.039186352959012405,-0.283505364197702,6.047396299528823,-0.3774562928598425,-21.622487481694453
555,-2.3665283266410455,-1.8685642480125209,3.3190190442419283,3.5400580690897216,-1.254928218982104,-1.6487973866933157,3.263349943755348,-0.3758916876051844,-21.592304961705295
1184,-0.8322392634126876,-0.08959210625015031,1.9471952899864342,2.564848723156107,-0.6455473515506798,-1.0916083566233488,3.8608237056209394,-0.37678281264356706,-21.588754865317924
1688,-0.844989346515161,-0.838342934466494,1.2814210933197303,1.1279975697515572,0.0719256769987584,0.007781341729589393,6.821824663176379,-0.37603566058135424,-21.583630799526826
500,-2.0196458507787276,-2.1906686160805684,3.128588256003285,3.7705621434160523,-1.361308610959568,-2.3367120749335477,3.0201532799176074,-0.37454064070804494,-21.521856003777323
911,-0.8478221564476124,-0.5617755253589403,1.3222213390396504,1.1634899740725195,0.029828457169420286,0.08879868680514182,6.525252114435964,-0.37602551894359876,-21.51094286892224
502,-1.8463678548017226,-2.1311775785031792,2.954855840884896,3.841757726324041,-1.2934376504168466,-1.6511233113604378,3.059018911148147,-0.37731185442663495,-21.504514952042076
501,-2.007146123944235,-2.227991357687566,3.1045036362694467,3.90119360018319,-1.3429453344224005,-2.1129939352958536,3.0400365112110546,-0.3781501383209905,-21.463095041761797
898,-0.8001540823146189,-0.45862816447932686,1.3230836597519866,1.2050207542028222,0.012313623737280066,-0.14872056437389009,6.3972198815746655,-0.3754037487082355,-21.462367428864543
1135,-0.9285289528652108,-0.7042277362012014,1.4083168047380572,1.4543364597322812,-0.04906097938218035,-0.01008507470608452,6.159436077017021,-0.36902546267684766,-21.45191083758751
1134,-0.8593259581954795,-0.6295054882533436,1.3827578501490763,1.438808869805416,-0.03680119438297558,-0.02206549133944481,6.147410645301891,-0.3690660642802574,-21.447612306547036
503,-1.831184028254328,-1.9323937770420798,2.928886114610328,3.5638451601402035,-1.2731789045838997,-1.336100268290093,3.0804741997437977,-0.3719319197234103,-21.423724228582312
531,-1.307020327207178,-0.9410221390863368,2.663898396754483,3.2748521872180922,-1.2986254180947139,-1.266495416948841,2.9291783008600776,-0.3711857832774978,-21.41026558357829
1195,-1.6730487234558569,-1.9296352347202825,2.2455489542140605,2.345151745793071,-0.638700823193247,-0.4997032797738791,4.3352272436041766,-0.37435503360987515,-21.401803329589868
1594,-0.8029946654014449,-0.9100445076005627,1.4244335174643594,1.7189241983056225,-0.09330073064074695,-0.006217705800422552,5.775623529678285,-0.3734813371501296,-21.401301370852917
499,-1.8920262058373214,-2.1186710988714976,3.0322909890048955,3.6399063568346275,-1.3510436025334642,-2.1383536713132645,2.9981834073055165,-0.37085873684458104,-21.387469378043768
1133,-0.8177550591090548,-0.5652386377918764,1.3582201847189261,1.3767544964939717,-0.018247281016771533,0.02742131787487393,6.20541033342922,-0.3743414680008653,-21.380493095151927
1136,-0.9233314166768272,-0.7681584204578661,1.3888161174316391,1.4425887400053024,-0.02885042017699946,0.05021655092200731,6.271912675840193,-0.3774370228005609,-21.358609147432187
1137,-0.9543057090741198,-0.8180060330527839,1.3887020604786482,1.4882498883285393,-0.021020259031195643,0.08570652672520855,6.358969523050497,-0.38372255179695003,-21.355252325189213
912,-0.8827862055447558,-0.6297215153326416,1.3336181071780273,1.1085390457178115,0.024138170286865268,0.04288694394571718,6.539773078514116,-0.3720910236602299,-21.34278052498703
1183,-0.9396791061780185,-0.2666996124325721,2.01407297239956,2.651016310369349,-0.6942577502152503,-0.9675261888142426,3.8002197209809774,-0.3714924420814191,-21.31538024323571
1237,-0.4046959901091505,0.09440433173196691,1.281203309030436,1.1155373522646121,0.031834567602092356,-0.2414387131553118,5.987230286682322,-0.36915817696855996,-21.293434470529494
504,-1.7979807153543437,-1.7968167553001222,2.8870395558362145,3.277651998704674,-1.2490892744140694,-1.368783648892786,3.1047022295705005,-0.36757435674868577,-21.28934130054286
1132,-0.8129898614901682,-0.5294150781284661,1.352401826795608,1.3268208458854132,-0.012743400051898446,0.09332197621567992,6.231956411361631,-0.37606482373530864,-21.277508263227453
1689,-0.8192581434357455,-0.8226757768355843,1.2693372725259469,1.079558541790031,0.08005416189462489,0.0410284473286967,6.84203003268547,-0.3719925681991382,-21.274583632794325
498,-1.8414920358516391,-2.106075627262797,3.0045238354879613,3.6420068745878966,-1.3562736950464893,-1.7244242230916202,2.9770868863804996,-0.36982331413225017,-21.268754371046175
897,-0.7618060069390341,-0.43533159006453986,1.3107456097151817,1.1626614974433258,0.018725023594956314,-0.19586009463280854,6.3906897095637385,-0.3693525624453942,-21.228597142208635
1593,-0.7808709056156414,-0.8601337354672065,1.4198914761850947,1.7382123078495666,-0.09258250015921976,-0.00044292713737509846,5.757596882321936,-0.37021009804281435,-21.2216810372235
1690,-0.8109506381892169,-0.8202926287156653,1.2647615228997302,1.0439650937678577,0.08333892941580756,0.05889722286239281,6.854380946183196,-0.3684848525378559,-21.21556401872635
1131,-0.8219639496790557,-0.5262532610716313,1.362355365833579,1.3450728430439318,-0.021915566839772804,0.1344228772786576,6.188644421160472,-0.3715383405784841,-21.208540636925704
1255,-0.7234372433950287,-0.5713862557730433,1.2084904728612678,1.1696909434848455,0.12869301445013526,-0.13657063300356131,7.069488177046481,-0.3643107968715778,-21.1804348703714
